VendorID,passenger_count,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,extra,mta_tax,tolls_amount,improvement_surcharge,congestion_surcharge,airport_fee,tip_amount
0,3,0,1,122,35,8,1,0,1,1,0,1
0,1,1,0,64,84,9,1,5,1,1,1,14
0,1,0,0,69,204,7,1,0,1,1,0,3
1,1,0,0,128,66,1,1,0,1,1,0,4
1,1,0,0,118,40,0,1,0,1,1,0,6
0,2,0,1,123,207,8,1,0,1,1,0,1
0,1,0,0,53,213,7,1,0,1,1,0,5
1,1,0,0,134,119,0,1,0,1,1,0,2
1,1,0,0,68,206,2,1,0,1,1,0,4
1,1,0,0,121,205,1,1,0,1,1,0,2
0,1,0,0,66,75,8,1,0,1,1,0,3
1,1,0,0,121,229,1,1,0,1,1,0,3
0,1,0,0,80,8,6,1,0,1,1,0,8
0,1,0,1,64,49,4,1,0,1,0,1,8
0,3,0,0,80,138,6,1,0,1,1,0,3
1,1,0,0,80,206,0,1,0,1,1,0,4
1,2,0,0,45,204,0,1,0,1,1,0,8
1,1,0,0,133,205,0,1,0,1,1,0,5
1,1,0,0,133,205,0,1,0,1,1,0,3
1,1,0,0,39,93,2,1,0,1,1,0,1
1,1,0,0,115,72,1,1,0,1,1,0,2
1,2,0,0,80,120,0,1,0,1,1,0,5
1,1,0,0,128,216,1,1,0,1,1,0,4
1,5,0,0,41,1,0,1,0,1,1,0,3
1,2,0,0,122,201,0,1,0,1,1,0,6
1,3,0,0,120,205,0,1,0,1,1,0,4
1,1,0,0,64,123,1,1,0,1,0,1,16
1,6,0,0,24,216,0,1,0,1,1,0,5
0,1,0,0,134,118,6,1,0,1,1,0,3
0,1,0,1,48,134,7,1,0,1,1,0,3
1,1,0,0,114,159,0,1,0,1,1,0,4
1,2,0,0,68,121,2,1,0,1,1,0,6
1,6,0,0,48,213,1,1,0,1,1,0,3
1,1,0,0,79,213,0,1,0,1,1,0,1
1,1,0,1,92,134,2,1,0,1,1,0,5
0,1,0,0,83,213,6,1,0,1,1,0,3
1,1,0,0,121,197,2,1,0,1,1,0,3
1,1,0,0,120,204,1,1,0,1,1,0,4
0,1,0,0,126,56,8,1,0,1,1,0,3
0,1,0,0,86,137,6,1,0,1,1,0,4
1,1,0,0,113,205,0,1,0,1,1,0,3
0,1,0,0,133,198,6,1,0,1,1,0,3
0,1,0,1,71,202,8,1,0,1,1,0,6
1,2,0,0,48,95,1,1,0,1,1,0,10
1,1,0,0,83,139,0,1,0,1,1,0,4
1,1,0,0,48,134,0,1,0,1,1,0,2
1,1,0,0,82,66,0,1,0,1,1,0,1
0,1,0,0,69,140,6,1,0,1,1,0,8
0,1,0,0,41,197,6,1,0,1,1,0,4
0,3,0,0,70,118,6,1,0,1,1,0,5
1,2,0,0,55,204,0,1,0,1,1,0,6
0,1,0,0,134,138,6,1,0,1,1,0,3
0,2,0,0,21,120,7,1,0,1,1,0,4
1,1,0,0,82,229,1,1,0,1,1,0,2
0,1,0,0,123,204,6,1,0,1,1,0,2
0,2,0,1,133,205,6,1,0,1,1,0,4
1,1,0,0,53,119,0,1,0,1,1,0,3
1,1,0,0,58,140,0,1,0,1,1,0,1
1,5,0,0,79,56,1,1,0,1,1,0,2
1,1,0,0,69,197,0,1,0,1,1,0,3
1,1,0,0,79,197,1,1,0,1,1,0,9
0,2,0,0,81,204,6,1,0,1,1,0,5
0,2,0,0,120,229,6,1,0,1,1,0,4
1,1,0,0,115,56,1,1,0,1,1,0,5
1,1,0,0,70,207,0,1,0,1,1,0,3
0,1,0,0,48,8,6,1,0,1,1,0,4
1,1,0,0,81,119,0,1,0,1,1,0,5
1,1,0,0,121,138,0,1,0,1,1,0,2
1,1,0,0,48,40,1,1,0,1,1,0,1
1,3,0,0,39,138,0,1,0,1,1,0,6
0,1,0,0,92,137,8,1,0,1,1,0,4
0,2,0,0,80,120,7,1,0,1,1,0,10
1,1,0,0,24,89,2,1,0,1,1,0,5
1,1,0,0,69,89,0,1,0,1,1,0,5
1,5,0,0,82,121,0,1,0,1,1,0,6
1,1,0,0,123,206,2,1,0,1,1,0,3
1,2,0,0,48,207,0,1,0,1,1,0,5
1,1,0,0,121,120,0,1,0,1,1,0,2
0,1,0,0,134,35,6,1,0,1,1,0,3
0,1,0,0,92,137,6,1,0,1,1,0,5
0,2,0,0,59,139,6,1,0,1,1,0,3
